CustomerID;FirstName;LastName;EmailAddress;LocationCity;LocationState;LocationCountry;Gender;AgeGroup;CustomerType
1;Jane;Doe;jane.doe1@example.com;Sydney;BE;Japan;Male;45-54;VIP
2;Chris;Miller;chris.miller2@example.com;Tokyo;NY;Australia;Male;35-44;VIP
3;Peter;Davis;peter.davis3@example.com;London;ON;Japan;Other;45-54;VIP
4;Sarah;Miller;sarah.miller4@example.com;New York;IDF;Canada;Male;25-34;VIP
5;John;Davis;john.davis5@example.com;London;BE;Germany;Other;18-24;VIP
6;Jane;Garcia;jane.garcia6@example.com;Toronto;ENG;France;Female;18-24;VIP
7;Peter;Brown;peter.brown7@example.com;Toronto;TKY;France;Male;65+;VIP
8;Jane;Miller;jane.miller8@example.com;Berlin;IDF;Germany;Other;65+;VIP
9;Jane;Davis;jane.davis9@example.com;Sydney;ON;UK;Male;18-24;VIP
10;Laura;Jones;laura.jones10@example.com;Berlin;NY;Australia;Male;18-24;VIP
11;Peter;Garcia;peter.garcia11@example.com;New York;IDF;Australia;Female;25-34;VIP
12;Sarah;Doe;sarah.doe12@example.com;Tokyo;ON;France;Female;45-54;VIP
13;Sarah;Miller;sarah.miller13@example.com;New York;TKY;Australia;Male;35-44;VIP
14;Chris;Williams;chris.williams14@example.com;London;ENG;Australia;Male;45-54;VIP
15;Sarah;Doe;sarah.doe15@example.com;London;NSW;Germany;Female;55-64;VIP
16;Emily;Miller;emily.miller16@example.com;Toronto;ENG;Australia;Male;45-54;VIP
17;Laura;Miller;laura.miller17@example.com;Paris;TKY;UK;Female;35-44;VIP
18;Chris;Brown;chris.brown18@example.com;New York;NSW;Australia;Male;35-44;VIP
19;David;Smith;david.smith19@example.com;Berlin;NSW;Germany;Female;18-24;VIP
20;Sarah;Garcia;sarah.garcia20@example.com;New York;TKY;UK;Male;35-44;VIP
21;Peter;Miller;peter.miller21@example.com;Toronto;BE;UK;Other;45-54;VIP
22;John;Jones;john.jones22@example.com;Tokyo;ENG;UK;Female;18-24;VIP
23;Jane;Miller;jane.miller23@example.com;Berlin;BE;Canada;Male;35-44;VIP
24;John;Smith;john.smith24@example.com;Paris;TKY;Canada;Female;35-44;VIP
25;Chris;Davis;chris.davis25@example.com;New York;ON;Germany;Female;45-54;VIP
26;David;Davis;david.davis26@example.com;Toronto;IDF;UK;Other;65+;VIP
27;Sarah;Garcia;sarah.garcia27@example.com;Berlin;IDF;Japan;Male;35-44;VIP
28;David;Williams;david.williams28@example.com;Berlin;NSW;USA;Other;45-54;VIP
29;Chris;Smith;chris.smith29@example.com;New York;IDF;UK;Male;18-24;VIP
30;Emily;Miller;emily.miller30@example.com;Toronto;IDF;Germany;Female;65+;VIP
31;John;Miller;john.miller31@example.com;Berlin;ON;Australia;Male;18-24;VIP
32;Peter;Miller;peter.miller32@example.com;Paris;IDF;Australia;Female;55-64;VIP
33;Chris;Davis;chris.davis33@example.com;New York;IDF;Australia;Other;18-24;VIP
34;Peter;Miller;peter.miller34@example.com;Berlin;TKY;Germany;Male;35-44;VIP
35;Emily;Smith;emily.smith35@example.com;Toronto;NSW;Australia;Male;25-34;VIP
36;John;Smith;john.smith36@example.com;New York;ON;UK;Male;35-44;VIP
37;David;Davis;david.davis37@example.com;London;IDF;Canada;Female;35-44;VIP
38;Emily;Davis;emily.davis38@example.com;Berlin;NSW;USA;Other;18-24;VIP
39;David;Miller;david.miller39@example.com;Tokyo;ENG;USA;Other;55-64;VIP
40;Chris;Williams;chris.williams40@example.com;Berlin;TKY;Canada;Female;18-24;VIP
41;Peter;Williams;peter.williams41@example.com;Paris;ON;UK;Female;65+;VIP
42;Laura;Smith;laura.smith42@example.com;New York;ON;Canada;Female;55-64;VIP
43;Jane;Doe;jane.doe43@example.com;Berlin;TKY;Germany;Female;35-44;VIP
44;Peter;Miller;peter.miller44@example.com;Paris;NY;Australia;Female;65+;VIP
45;Emily;Smith;emily.smith45@example.com;Tokyo;NSW;Japan;Female;65+;VIP
46;Jane;Smith;jane.smith46@example.com;Toronto;ON;Australia;Male;45-54;VIP
47;Sarah;Brown;sarah.brown47@example.com;Tokyo;NY;France;Male;45-54;VIP
48;David;Davis;david.davis48@example.com;New York;ON;Germany;Male;55-64;VIP
49;John;Smith;john.smith49@example.com;Berlin;NSW;Australia;Male;35-44;VIP
50;Jane;Williams;jane.williams50@example.com;Sydney;ENG;Canada;Male;55-64;VIP
51;Jane;Davis;jane.davis51@example.com;Tokyo;BE;USA;Male;45-54;VIP
52;Chris;Brown;chris.brown52@example.com;Berlin;NSW;USA;Female;18-24;VIP
53;Chris;Doe;chris.doe53@example.com;New York;NY;Japan;Male;55-64;VIP
54;David;Jones;david.jones54@example.com;Sydney;TKY;Canada;Other;18-24;VIP
55;Laura;Doe;laura.doe55@example.com;Tokyo;TKY;Canada;Female;25-34;VIP
56;Emily;Davis;emily.davis56@example.com;Toronto;ON;Canada;Male;25-34;VIP
57;Sarah;Williams;sarah.williams57@example.com;New York;NSW;France;Male;45-54;VIP
58;Peter;Brown;peter.brown58@example.com;New York;IDF;UK;Male;65+;VIP
59;Chris;Davis;chris.davis59@example.com;Tokyo;ENG;Canada;Other;65+;VIP
60;Sarah;Jones;sarah.jones60@example.com;Sydney;ON;Germany;Female;45-54;VIP
61;Peter;Miller;peter.miller61@example.com;Toronto;NY;France;Other;65+;VIP
62;David;Garcia;david.garcia62@example.com;Paris;ON;Australia;Female;65+;VIP
63;David;Miller;david.miller63@example.com;London;NSW;Canada;Male;65+;VIP
64;Peter;Garcia;peter.garcia64@example.com;New York;IDF;Australia;Other;45-54;VIP
65;Chris;Smith;chris.smith65@example.com;Sydney;NSW;France;Female;45-54;VIP
66;Jane;Brown;jane.brown66@example.com;Toronto;IDF;Australia;Male;55-64;VIP
67;David;Garcia;david.garcia67@example.com;Sydney;TKY;UK;Male;35-44;VIP
68;David;Miller;david.miller68@example.com;London;NY;Canada;Male;65+;VIP
69;Sarah;Doe;sarah.doe69@example.com;Berlin;TKY;USA;Other;25-34;VIP
70;Jane;Garcia;jane.garcia70@example.com;New York;BE;France;Other;35-44;VIP
71;Emily;Jones;emily.jones71@example.com;Tokyo;ENG;UK;Male;45-54;VIP
72;Sarah;Miller;sarah.miller72@example.com;Paris;NSW;UK;Other;25-34;VIP
73;Jane;Davis;jane.davis73@example.com;New York;TKY;Japan;Female;55-64;VIP
74;Chris;Doe;chris.doe74@example.com;Sydney;NSW;USA;Other;35-44;VIP
75;Jane;Garcia;jane.garcia75@example.com;Toronto;NY;UK;Female;45-54;VIP
76;David;Garcia;david.garcia76@example.com;Paris;BE;UK;Male;18-24;VIP
77;Laura;Doe;laura.doe77@example.com;Sydney;ENG;Australia;Other;25-34;VIP
78;Jane;Smith;jane.smith78@example.com;Paris;NSW;USA;Other;35-44;VIP
79;Laura;Smith;laura.smith79@example.com;Toronto;TKY;Germany;Female;25-34;VIP
80;Peter;Jones;peter.jones80@example.com;New York;BE;Canada;Male;55-64;VIP
81;John;Jones;john.jones81@example.com;Sydney;TKY;Japan;Male;25-34;VIP
82;Chris;Davis;chris.davis82@example.com;Berlin;NY;Australia;Other;65+;VIP
83;John;Smith;john.smith83@example.com;Tokyo;ON;Germany;Female;25-34;VIP
84;John;Miller;john.miller84@example.com;New York;BE;UK;Male;45-54;VIP
85;Chris;Davis;chris.davis85@example.com;Berlin;BE;USA;Female;55-64;VIP
86;Laura;Garcia;laura.garcia86@example.com;London;BE;France;Female;45-54;VIP
87;Sarah;Smith;sarah.smith87@example.com;New York;NY;Germany;Male;25-34;VIP
88;Emily;Davis;emily.davis88@example.com;Toronto;ON;Australia;Other;18-24;VIP
89;Laura;Miller;laura.miller89@example.com;Toronto;NSW;USA;Female;25-34;VIP
90;Peter;Doe;peter.doe90@example.com;Sydney;ON;Japan;Male;65+;VIP
91;Jane;Brown;jane.brown91@example.com;Tokyo;IDF;Australia;Male;65+;VIP
92;John;Garcia;john.garcia92@example.com;Sydney;ENG;UK;Female;55-64;VIP
93;John;Davis;john.davis93@example.com;New York;NY;France;Male;18-24;VIP
94;Chris;Miller;chris.miller94@example.com;New York;ON;Canada;Female;25-34;VIP
95;Chris;Jones;chris.jones95@example.com;New York;NY;Australia;Male;35-44;VIP
96;David;Brown;david.brown96@example.com;Tokyo;ON;France;Female;18-24;VIP
97;John;Doe;john.doe97@example.com;New York;IDF;Canada;Male;55-64;VIP
98;Jane;Miller;jane.miller98@example.com;Paris;BE;UK;Female;35-44;VIP
99;Sarah;Miller;sarah.miller99@example.com;Sydney;ON;USA;Male;45-54;VIP
100;Laura;Garcia;laura.garcia100@example.com;Sydney;NY;Canada;Male;25-34;VIP
101;Sarah;Miller;sarah.miller101@example.com;Tokyo;NY;USA;Other;55-64;VIP
102;Jane;Davis;jane.davis102@example.com;New York;TKY;Canada;Female;18-24;VIP
103;Laura;Brown;laura.brown103@example.com;Tokyo;ON;France;Other;55-64;VIP
104;David;Miller;david.miller104@example.com;Tokyo;ENG;Germany;Male;35-44;VIP
105;Peter;Doe;peter.doe105@example.com;Berlin;TKY;Japan;Female;55-64;VIP
106;Emily;Williams;emily.williams106@example.com;Toronto;TKY;France;Male;65+;VIP
107;David;Smith;david.smith107@example.com;Toronto;NY;Australia;Male;65+;VIP
108;Peter;Jones;peter.jones108@example.com;Sydney;BE;Germany;Male;25-34;VIP
109;Sarah;Brown;sarah.brown109@example.com;Sydney;NSW;UK;Male;18-24;VIP
110;Sarah;Miller;sarah.miller110@example.com;Sydney;NY;Japan;Male;25-34;VIP
111;Sarah;Garcia;sarah.garcia111@example.com;Sydney;ENG;Germany;Male;25-34;VIP
112;Jane;Davis;jane.davis112@example.com;Sydney;ON;Australia;Male;65+;VIP
113;Emily;Miller;emily.miller113@example.com;London;IDF;USA;Male;65+;VIP
114;David;Garcia;david.garcia114@example.com;Sydney;NSW;Canada;Other;35-44;VIP
115;David;Smith;david.smith115@example.com;Berlin;TKY;UK;Female;35-44;VIP
116;Emily;Smith;emily.smith116@example.com;London;TKY;France;Male;25-34;VIP
117;Peter;Brown;peter.brown117@example.com;London;NY;USA;Female;65+;VIP
118;David;Miller;david.miller118@example.com;Tokyo;NY;Canada;Other;35-44;VIP
119;Peter;Jones;peter.jones119@example.com;Berlin;BE;Japan;Female;25-34;VIP
120;Emily;Miller;emily.miller120@example.com;Berlin;BE;France;Other;35-44;VIP
121;Jane;Doe;jane.doe121@example.com;Berlin;NSW;UK;Other;35-44;VIP
122;Emily;Williams;emily.williams122@example.com;Toronto;IDF;Canada;Other;35-44;VIP
123;Sarah;Smith;sarah.smith123@example.com;Sydney;ON;Germany;Other;65+;VIP
124;Laura;Davis;laura.davis124@example.com;Sydney;IDF;UK;Other;65+;VIP
125;Peter;Garcia;peter.garcia125@example.com;Berlin;BE;Germany;Female;18-24;VIP
126;Chris;Smith;chris.smith126@example.com;Sydney;ON;Germany;Other;55-64;VIP
127;John;Doe;john.doe127@example.com;Toronto;TKY;Canada;Female;45-54;VIP
128;Sarah;Jones;sarah.jones128@example.com;New York;ENG;UK;Female;18-24;VIP
129;Sarah;Davis;sarah.davis129@example.com;Tokyo;IDF;Australia;Male;65+;VIP
130;Chris;Davis;chris.davis130@example.com;New York;ENG;Canada;Male;55-64;VIP
131;Sarah;Doe;sarah.doe131@example.com;New York;TKY;Australia;Other;45-54;VIP
132;Sarah;Doe;sarah.doe132@example.com;Berlin;NY;Germany;Male;18-24;VIP
133;David;Davis;david.davis133@example.com;Toronto;NSW;Canada;Female;65+;VIP
134;Peter;Jones;peter.jones134@example.com;London;NSW;USA;Female;55-64;VIP
135;Sarah;Brown;sarah.brown135@example.com;Berlin;ON;Japan;Female;65+;VIP
136;David;Doe;david.doe136@example.com;Berlin;NSW;Australia;Female;55-64;VIP
137;Laura;Doe;laura.doe137@example.com;Paris;IDF;Germany;Male;55-64;VIP
138;Chris;Brown;chris.brown138@example.com;Sydney;TKY;USA;Female;45-54;VIP
139;Peter;Brown;peter.brown139@example.com;Paris;ENG;Canada;Male;18-24;VIP
140;Chris;Jones;chris.jones140@example.com;Berlin;ENG;Canada;Other;65+;VIP
141;Emily;Jones;emily.jones141@example.com;Paris;NY;Australia;Female;45-54;VIP
142;Jane;Smith;jane.smith142@example.com;Berlin;ENG;UK;Other;55-64;VIP
143;Laura;Garcia;laura.garcia143@example.com;Tokyo;NY;UK;Female;18-24;VIP
144;Jane;Davis;jane.davis144@example.com;New York;ENG;Japan;Other;45-54;VIP
145;David;Brown;david.brown145@example.com;New York;ENG;Australia;Male;55-64;VIP
146;Emily;Davis;emily.davis146@example.com;Tokyo;ENG;Japan;Female;65+;VIP
147;David;Williams;david.williams147@example.com;Berlin;BE;UK;Female;45-54;VIP
148;Laura;Smith;laura.smith148@example.com;Berlin;ON;France;Other;35-44;VIP
149;David;Williams;david.williams149@example.com;New York;BE;France;Female;65+;VIP
150;Sarah;Garcia;sarah.garcia150@example.com;Paris;ENG;Canada;Male;18-24;VIP
151;Jane;Williams;jane.williams151@example.com;Sydney;TKY;Japan;Female;65+;VIP
152;Emily;Brown;emily.brown152@example.com;Sydney;NSW;Canada;Female;18-24;VIP
